global_step=5008, episodic_ingame_score=0
global_step=5024, episodic_ingame_score=0
global_step=5040, episodic_ingame_score=0
global_step=5056, episodic_ingame_score=0
global_step=5072, episodic_ingame_score=0
global_step=5088, episodic_ingame_score=0
global_step=5104, episodic_ingame_score=0
global_step=5120, episodic_ingame_score=0
global_step=5136, episodic_ingame_score=0
global_step=5152, episodic_ingame_score=0
global_step=5168, episodic_ingame_score=0
global_step=5184, episodic_ingame_score=0
global_step=5200, episodic_ingame_score=0
global_step=5216, episodic_ingame_score=0
global_step=5232, episodic_ingame_score=0
global_step=5248, episodic_ingame_score=0
global_step=5264, episodic_ingame_score=0
global_step=5280, episodic_ingame_score=0
global_step=5296, episodic_ingame_score=0
global_step=5312, episodic_ingame_score=0
global_step=5328, episodic_ingame_score=0
global_step=5344, episodic_ingame_score=0
global_step=5360, episodic_ingame_score=0
global_step=5376, episodic_ingame_score=0
global_step=5392, episodic_ingame_score=0
global_step=5408, episodic_ingame_score=0
global_step=5424, episodic_ingame_score=0
global_step=5440, episodic_ingame_score=0
global_step=5456, episodic_ingame_score=0
global_step=5472, episodic_ingame_score=0
global_step=5488, episodic_ingame_score=0
global_step=5504, episodic_ingame_score=0
global_step=5520, episodic_ingame_score=0
global_step=5536, episodic_ingame_score=0
global_step=5552, episodic_ingame_score=0
global_step=5568, episodic_ingame_score=0
global_step=5584, episodic_ingame_score=0
global_step=5600, episodic_ingame_score=0
global_step=5616, episodic_ingame_score=0
global_step=5632, episodic_ingame_score=0
global_step=5648, episodic_ingame_score=0
global_step=5664, episodic_ingame_score=0
global_step=5680, episodic_ingame_score=0
global_step=5696, episodic_ingame_score=0
global_step=5712, episodic_ingame_score=0
global_step=5728, episodic_ingame_score=0
global_step=5744, episodic_ingame_score=0
global_step=5760, episodic_ingame_score=0
global_step=5776, episodic_ingame_score=0
global_step=5792, episodic_ingame_score=0
global_step=5808, episodic_ingame_score=0
global_step=5824, episodic_ingame_score=0
global_step=5840, episodic_ingame_score=0
global_step=5856, episodic_ingame_score=0
global_step=5872, episodic_ingame_score=0
global_step=5888, episodic_ingame_score=0
global_step=5904, episodic_ingame_score=0
global_step=5920, episodic_ingame_score=0
global_step=5936, episodic_ingame_score=0
global_step=5952, episodic_ingame_score=0
global_step=5968, episodic_ingame_score=0
global_step=5984, episodic_ingame_score=0
global_step=6000, episodic_ingame_score=0
global_step=6016, episodic_ingame_score=0
global_step=6032, episodic_ingame_score=0
global_step=6048, episodic_ingame_score=0
global_step=6064, episodic_ingame_score=0
global_step=6080, episodic_ingame_score=0
global_step=6096, episodic_ingame_score=0
global_step=6112, episodic_ingame_score=0
global_step=6128, episodic_ingame_score=0
global_step=6144, episodic_ingame_score=0
global_step=6160, episodic_ingame_score=0
global_step=6176, episodic_ingame_score=0
global_step=6192, episodic_ingame_score=0
global_step=6208, episodic_ingame_score=0
global_step=6224, episodic_ingame_score=0
global_step=6240, episodic_ingame_score=0
global_step=6256, episodic_ingame_score=0
global_step=6272, episodic_ingame_score=0
global_step=6288, episodic_ingame_score=0
global_step=6304, episodic_ingame_score=0
global_step=6320, episodic_ingame_score=0
global_step=6336, episodic_ingame_score=0
global_step=6352, episodic_ingame_score=0
global_step=6368, episodic_ingame_score=0
global_step=6384, episodic_ingame_score=0
global_step=6400, episodic_ingame_score=0
global_step=6416, episodic_ingame_score=0
global_step=6432, episodic_ingame_score=0
global_step=6448, episodic_ingame_score=0
global_step=6464, episodic_ingame_score=0
global_step=6480, episodic_ingame_score=0
global_step=6496, episodic_ingame_score=0
global_step=6512, episodic_ingame_score=0
global_step=6528, episodic_ingame_score=0
global_step=6544, episodic_ingame_score=0
global_step=6560, episodic_ingame_score=0
global_step=6576, episodic_ingame_score=0
global_step=6592, episodic_ingame_score=0
global_step=6608, episodic_ingame_score=0
global_step=6624, episodic_ingame_score=0
global_step=6640, episodic_ingame_score=0
global_step=6656, episodic_ingame_score=0
global_step=6672, episodic_ingame_score=0
global_step=6688, episodic_ingame_score=0
global_step=6704, episodic_ingame_score=0
global_step=6720, episodic_ingame_score=0
global_step=6736, episodic_ingame_score=0
global_step=6752, episodic_ingame_score=0
global_step=6768, episodic_ingame_score=0
global_step=6784, episodic_ingame_score=0
global_step=6800, episodic_ingame_score=0
global_step=6816, episodic_ingame_score=0
global_step=6832, episodic_ingame_score=0
global_step=6848, episodic_ingame_score=0
global_step=6864, episodic_ingame_score=0
global_step=6880, episodic_ingame_score=0
global_step=6896, episodic_ingame_score=0
global_step=6912, episodic_ingame_score=0
global_step=6928, episodic_ingame_score=0
global_step=6944, episodic_ingame_score=0
global_step=6960, episodic_ingame_score=0
global_step=6976, episodic_ingame_score=0
global_step=6992, episodic_ingame_score=0
global_step=7008, episodic_ingame_score=0
global_step=7024, episodic_ingame_score=0
global_step=7040, episodic_ingame_score=0
global_step=7056, episodic_ingame_score=0
global_step=7072, episodic_ingame_score=0
global_step=7088, episodic_ingame_score=0
global_step=7104, episodic_ingame_score=0
global_step=7120, episodic_ingame_score=0
global_step=7136, episodic_ingame_score=0
global_step=7152, episodic_ingame_score=0
global_step=7168, episodic_ingame_score=0
global_step=7184, episodic_ingame_score=0
global_step=7200, episodic_ingame_score=0
global_step=7216, episodic_ingame_score=0
global_step=7232, episodic_ingame_score=0
global_step=7248, episodic_ingame_score=0
global_step=7264, episodic_ingame_score=0
global_step=7280, episodic_ingame_score=0
global_step=7296, episodic_ingame_score=0
global_step=7312, episodic_ingame_score=0
global_step=7328, episodic_ingame_score=0
global_step=7344, episodic_ingame_score=0
global_step=7360, episodic_ingame_score=0
global_step=7376, episodic_ingame_score=0
global_step=7392, episodic_ingame_score=0
global_step=7408, episodic_ingame_score=0
global_step=7424, episodic_ingame_score=0
global_step=7440, episodic_ingame_score=0
global_step=7456, episodic_ingame_score=0
global_step=7472, episodic_ingame_score=0
global_step=7488, episodic_ingame_score=0
global_step=7504, episodic_ingame_score=0
global_step=7520, episodic_ingame_score=0
global_step=7536, episodic_ingame_score=0
global_step=7552, episodic_ingame_score=0
global_step=7568, episodic_ingame_score=0
global_step=7584, episodic_ingame_score=0
global_step=7600, episodic_ingame_score=0
global_step=7616, episodic_ingame_score=0
global_step=7632, episodic_ingame_score=0
global_step=7648, episodic_ingame_score=0
global_step=7664, episodic_ingame_score=0
global_step=7680, episodic_ingame_score=0
global_step=7696, episodic_ingame_score=0
global_step=7712, episodic_ingame_score=0
global_step=7728, episodic_ingame_score=0
global_step=7744, episodic_ingame_score=0
global_step=7760, episodic_ingame_score=0
global_step=7776, episodic_ingame_score=0
global_step=7792, episodic_ingame_score=0
global_step=7808, episodic_ingame_score=0
global_step=7824, episodic_ingame_score=0
global_step=7840, episodic_ingame_score=0
global_step=7856, episodic_ingame_score=0
global_step=7872, episodic_ingame_score=0
global_step=7888, episodic_ingame_score=0
global_step=7904, episodic_ingame_score=0
global_step=7920, episodic_ingame_score=0
global_step=7936, episodic_ingame_score=0
global_step=7952, episodic_ingame_score=0
global_step=7968, episodic_ingame_score=0
global_step=7984, episodic_ingame_score=0
global_step=8000, episodic_ingame_score=0
global_step=8016, episodic_ingame_score=0
global_step=8032, episodic_ingame_score=0
global_step=8048, episodic_ingame_score=0
global_step=8064, episodic_ingame_score=0
global_step=8080, episodic_ingame_score=0
global_step=8096, episodic_ingame_score=0
global_step=8112, episodic_ingame_score=0
global_step=8128, episodic_ingame_score=0
global_step=8144, episodic_ingame_score=0
global_step=8160, episodic_ingame_score=0
global_step=8176, episodic_ingame_score=0
global_step=8192, episodic_ingame_score=0
global_step=8208, episodic_ingame_score=0
global_step=8224, episodic_ingame_score=0
global_step=8240, episodic_ingame_score=0
global_step=8256, episodic_ingame_score=0
global_step=8272, episodic_ingame_score=0
global_step=8288, episodic_ingame_score=0
global_step=8304, episodic_ingame_score=0
global_step=8320, episodic_ingame_score=0
global_step=8336, episodic_ingame_score=0
global_step=8352, episodic_ingame_score=0
global_step=8368, episodic_ingame_score=0
global_step=8384, episodic_ingame_score=0
global_step=8400, episodic_ingame_score=0
global_step=8416, episodic_ingame_score=0
global_step=8432, episodic_ingame_score=0
global_step=8448, episodic_ingame_score=0
global_step=8464, episodic_ingame_score=0
global_step=8480, episodic_ingame_score=0
global_step=8496, episodic_ingame_score=0
global_step=8512, episodic_ingame_score=0
global_step=8528, episodic_ingame_score=0
global_step=8544, episodic_ingame_score=0
global_step=8560, episodic_ingame_score=0
global_step=8576, episodic_ingame_score=0
global_step=8592, episodic_ingame_score=0
global_step=8608, episodic_ingame_score=0
global_step=8624, episodic_ingame_score=0
global_step=8640, episodic_ingame_score=0
global_step=8656, episodic_ingame_score=0
global_step=8672, episodic_ingame_score=0
global_step=8688, episodic_ingame_score=0
global_step=8704, episodic_ingame_score=0
global_step=8720, episodic_ingame_score=0
global_step=8736, episodic_ingame_score=0
global_step=8752, episodic_ingame_score=0
global_step=8768, episodic_ingame_score=0
global_step=8784, episodic_ingame_score=0
global_step=8800, episodic_ingame_score=0
global_step=8816, episodic_ingame_score=0
global_step=8832, episodic_ingame_score=0
global_step=8848, episodic_ingame_score=0
global_step=8864, episodic_ingame_score=0
global_step=8880, episodic_ingame_score=0
global_step=8896, episodic_ingame_score=0
global_step=8912, episodic_ingame_score=0
global_step=8928, episodic_ingame_score=0
global_step=8944, episodic_ingame_score=0
global_step=8960, episodic_ingame_score=0
global_step=8976, episodic_ingame_score=0
global_step=8992, episodic_ingame_score=0
global_step=9008, episodic_ingame_score=0
global_step=9024, episodic_ingame_score=0
global_step=9040, episodic_ingame_score=0
global_step=9056, episodic_ingame_score=0
global_step=9072, episodic_ingame_score=0
global_step=9088, episodic_ingame_score=0
global_step=9104, episodic_ingame_score=0
global_step=9120, episodic_ingame_score=0
global_step=9136, episodic_ingame_score=0
global_step=9152, episodic_ingame_score=0
global_step=9168, episodic_ingame_score=0
global_step=9184, episodic_ingame_score=0
global_step=9200, episodic_ingame_score=0
global_step=9216, episodic_ingame_score=0
global_step=9232, episodic_ingame_score=0
global_step=9248, episodic_ingame_score=0
global_step=9264, episodic_ingame_score=0
global_step=9280, episodic_ingame_score=0
global_step=9296, episodic_ingame_score=0
global_step=9312, episodic_ingame_score=0
global_step=9328, episodic_ingame_score=0
global_step=9344, episodic_ingame_score=0
global_step=9360, episodic_ingame_score=0
global_step=9376, episodic_ingame_score=0
global_step=9392, episodic_ingame_score=0
global_step=9408, episodic_ingame_score=0
global_step=9424, episodic_ingame_score=0
global_step=9440, episodic_ingame_score=0
global_step=9456, episodic_ingame_score=0
global_step=9472, episodic_ingame_score=0
global_step=9488, episodic_ingame_score=0
global_step=9504, episodic_ingame_score=0
global_step=9520, episodic_ingame_score=0
global_step=9536, episodic_ingame_score=0
global_step=9552, episodic_ingame_score=0
global_step=9568, episodic_ingame_score=0
global_step=9584, episodic_ingame_score=0
global_step=9600, episodic_ingame_score=0
global_step=9616, episodic_ingame_score=0
global_step=9632, episodic_ingame_score=0
global_step=9648, episodic_ingame_score=0
global_step=9664, episodic_ingame_score=0
global_step=9680, episodic_ingame_score=0
global_step=9696, episodic_ingame_score=0
global_step=9712, episodic_ingame_score=0
global_step=9728, episodic_ingame_score=0
global_step=9744, episodic_ingame_score=0
global_step=9760, episodic_ingame_score=0
global_step=9776, episodic_ingame_score=0
global_step=9792, episodic_ingame_score=0
global_step=9808, episodic_ingame_score=0
global_step=9824, episodic_ingame_score=0
global_step=9840, episodic_ingame_score=0
global_step=9856, episodic_ingame_score=0
global_step=9872, episodic_ingame_score=0
global_step=9888, episodic_ingame_score=0
global_step=9904, episodic_ingame_score=0
global_step=9920, episodic_ingame_score=0
global_step=9936, episodic_ingame_score=0
global_step=9952, episodic_ingame_score=0
global_step=9968, episodic_ingame_score=0
global_step=9984, episodic_ingame_score=0
global_step=10000, episodic_ingame_score=0
global_step=10016, episodic_ingame_score=0
global_step=10032, episodic_ingame_score=0
global_step=10048, episodic_ingame_score=0
global_step=10064, episodic_ingame_score=0
global_step=10080, episodic_ingame_score=0
global_step=10096, episodic_ingame_score=0
global_step=10112, episodic_ingame_score=0
global_step=10128, episodic_ingame_score=0
global_step=10144, episodic_ingame_score=0
global_step=10160, episodic_ingame_score=0
global_step=10176, episodic_ingame_score=0
global_step=10192, episodic_ingame_score=0
